longitude,latitude
-105.4303000,30.9057000
-105.4254000,30.9009000
-105.4162000,30.9003000
-105.4138000,30.8986000
-105.4109000,30.8921000
-105.4124000,30.8889000
-105.4041000,30.8921000
-105.4001000,30.8894000
-105.3994000,30.8843000
-105.4045000,30.8802000
-105.4003000,30.8766000
-105.3946000,30.8767000
-105.3920000,30.8747000
-105.3954000,30.8719000
-105.3945000,30.8682000
-105.3963000,30.8662000
-105.3951000,30.8624000
-105.4003000,30.8571000
-105.4012000,30.8532000
-105.3962000,30.8505000
-105.3877000,30.8537000
-105.3853000,30.8508000
-105.3836000,30.8520000
-105.3760000,30.8483000
-105.3690000,30.8474000
-105.3619000,30.8506000
-105.3595000,30.8462000
-105.3542000,30.8425000
-105.3542000,30.8374000
-105.3518000,30.8355000
-105.3491000,30.8359000
-105.3458000,30.8405000
-105.3398000,30.8400000
-105.3371000,30.8336000
-105.3282000,30.8311000
-105.3296000,30.8255000
-105.3274000,30.8248000
-105.3242000,30.8284000
-105.3186000,30.8283000
-105.3189000,30.8229000
-105.3164000,30.8186000
-105.3189000,30.8132000
-105.3165000,30.8109000
-105.3115000,30.8128000
-105.3096000,30.8168000
-105.3082000,30.8148000
-105.3089000,30.8106000
-105.3062000,30.8098000
-105.3010000,30.8183000
-105.2998000,30.8250000
-105.2912000,30.8258000
-105.2891000,30.8191000
-105.2832000,30.8183000
-105.2799000,30.8162000
-105.2758000,30.8071000
-105.2717000,30.8092000
-105.2674000,30.8086000
-105.2649000,30.8016000
-105.2564000,30.7944000
-105.2504000,30.7990000
-105.2440000,30.8001000
-105.2416000,30.8022000
-105.2307000,30.8038000
-105.2287000,30.8028000
-105.2291000,30.8005000
-105.2274000,30.7993000
-105.2178000,30.8058000
-105.2155000,30.8058000
-105.2107000,30.7986000
-105.2118000,30.7941000
-105.2175000,30.7935000
-105.2201000,30.7892000
-105.2199000,30.7866000
-105.2168000,30.7835000
-105.2123000,30.7819000
-105.2086000,30.7827000
-105.2066000,30.7861000
-105.1993000,30.7881000
-105.1956000,30.7922000
-105.1914000,30.7865000
-105.1857000,30.7835000
-105.1850000,30.7773000
-105.1748000,30.7675000
-105.1701000,30.7728000
-105.1681000,30.7789000
-105.1659000,30.7795000
-105.1636000,30.7712000
-105.1566000,30.7698000
-105.1617000,30.7524000
-105.1557000,30.7534000
-105.1516000,30.7512000
-105.1428000,30.7546000
-105.1407000,30.7523000
-105.1298000,30.7504000
-105.1267000,30.7476000
-105.1188000,30.7497000
-105.1208000,30.7442000
-105.1170000,30.7428000
-105.1141000,30.7458000
-105.1117000,30.7438000
-105.1122000,30.7409000
-105.1106000,30.7402000
-105.1118000,30.7327000
-105.1078000,30.7298000
-105.1067000,30.7319000
-105.1034000,30.7288000
-105.1056000,30.7237000
-105.1005000,30.7222000
-105.0985000,30.7165000
-105.0918000,30.7171000
-105.0878000,30.7154000
-105.0875000,30.7100000
-105.0806000,30.7079000
-105.0795000,30.7050000
-105.0825000,30.7032000
-105.0826000,30.7014000
-105.0783000,30.6996000
-105.0759000,30.7016000
-105.0696000,30.7020000
-105.0689000,30.7035000
-105.0657000,30.6983000
-105.0627000,30.6982000
-105.0616000,30.6946000
-105.0636000,30.6895000
-105.0619000,30.6858000
-105.0573000,30.6877000
-105.0547000,30.6846000
-105.0546000,30.6821000
-105.0488000,30.6823000
-105.0469000,30.6799000
-105.0446000,30.6842000
-105.0471000,30.6882000
-105.0428000,30.6872000
-105.0395000,30.6885000
-105.0364000,30.6869000
-105.0318000,30.6808000
-105.0272000,30.6789000
-105.0259000,30.6812000
-105.0212000,30.6813000
-105.0186000,30.6847000
-105.0136000,30.6822000
-105.0069000,30.6858000
-105.0022000,30.6807000
-105.0014000,30.6726000
-104.9993000,30.6707000
-104.9949000,30.6703000
-104.9934000,30.6651000
-104.9869000,30.6628000
-104.9834000,30.6324000
-104.9794000,30.6281000
-104.9809000,30.6257000
-104.9802000,30.6219000
-104.9717000,30.6100000
-104.9670000,30.6079000
-104.9581000,30.6099000
-104.9552000,30.6090000
-104.9515000,30.6043000
-104.9442000,30.6029000
-104.9359000,30.6061000
-104.9345000,30.5999000
-104.9305000,30.5985000
-104.9270000,30.6046000
-104.9224000,30.6034000
-104.9215000,30.5977000
