latitude,longitude,name
31.1924336,-104.4564242,fiftymilemex
31.1926336,-104.4506229,fiftymilemex
31.1985332,-104.4488856,fiftymilemex
31.1902337,-104.4487381,fiftymilemex
31.1945335,-104.4464109,fiftymilemex
31.1975333,-104.4445920,fiftymilemex
31.1988332,-104.4412837,fiftymilemex
31.1972333,-104.4381939,fiftymilemex
31.1911337,-104.4336324,fiftymilemex
31.1892338,-104.4290444,fiftymilemex
31.1915336,-104.4277299,fiftymilemex
31.1916336,-104.4230293,fiftymilemex
31.1950334,-104.4204078,fiftymilemex
31.1925336,-104.4154236,fiftymilemex
31.1961334,-104.4087008,fiftymilemex
31.1910337,-104.4040331,fiftymilemex
31.1829341,-104.4032842,fiftymilemex
31.1810342,-104.4011962,fiftymilemex
31.1806342,-104.3967988,fiftymilemex
31.1754345,-104.3953316,fiftymilemex
31.1731346,-104.3888461,fiftymilemex
31.1427363,-104.3855380,fiftymilemex
31.1360367,-104.3830802,fiftymilemex
31.1322369,-104.3824041,fiftymilemex
31.1384365,-104.3815651,fiftymilemex
31.1203375,-104.3739791,fiftymilemex
31.1182376,-104.3692923,fiftymilemex
31.1202375,-104.3603797,fiftymilemex
31.1193376,-104.3574854,fiftymilemex
31.1146378,-104.3538150,fiftymilemex
31.1132379,-104.3465238,fiftymilemex
31.1164377,-104.3382037,fiftymilemex
31.1102381,-104.3368427,fiftymilemex
31.1088381,-104.3328515,fiftymilemex
31.1149378,-104.3293131,fiftymilemex
31.1137379,-104.3247207,fiftymilemex
31.1080382,-104.3238566,fiftymilemex
31.1004386,-104.3236044,fiftymilemex
31.1019385,-104.3220949,fiftymilemex
31.0966388,-104.3219283,fiftymilemex
31.1078382,-104.3214578,fiftymilemex
31.0946389,-104.3114409,fiftymilemex
31.0877393,-104.3094843,fiftymilemex
31.0811396,-104.3021258,fiftymilemex
31.0644405,-104.3003307,fiftymilemex
31.0740400,-104.2987704,fiftymilemex
31.0615407,-104.2968489,fiftymilemex
31.0631406,-104.2956388,fiftymilemex
