longitude,latitude
-99.6704000,27.6600000
-99.6659000,27.6586000
-99.6618000,27.6552000
-99.6583000,27.6488000
-99.6606000,27.6437000
-99.6656000,27.6400000
-99.6663000,27.6364000
-99.6555000,27.6293000
-99.6487000,27.6304000
-99.6387000,27.6267000
-99.6278000,27.6294000
-99.6228000,27.6335000
-99.6268000,27.6399000
-99.6241000,27.6436000
-99.6205000,27.6429000
-99.6159000,27.6374000
-99.6034000,27.6419000
-99.5959000,27.6398000
-99.5926000,27.6355000
-99.5915000,27.6277000
-99.5831000,27.6209000
-99.5771000,27.6183000
-99.5768000,27.6110000
-99.5790000,27.6080000
-99.5843000,27.6060000
-99.5842000,27.6035000
-99.5780000,27.6021000
-99.5605000,27.6073000
-99.5580000,27.6093000
-99.5566000,27.6136000
-99.5544000,27.6141000
-99.5403000,27.6044000
-99.5350000,27.5900000
-99.5290000,27.5792000
-99.5134000,27.5693000
-99.5115000,27.5641000
-99.5143000,27.5566000
-99.5190000,27.5525000
-99.5220000,27.5443000
-99.5225000,27.5330000
-99.5255000,27.5221000
-99.5250000,27.5122000
-99.5282000,27.4982000
-99.5231000,27.4965000
-99.5013000,27.5001000
-99.4934000,27.4976000
-99.4813000,27.4891000
-99.4788000,27.4795000
-99.4824000,27.4754000
-99.4832000,27.4673000
-99.4926000,27.4548000
-99.4953000,27.4466000
-99.4955000,27.4380000
-99.4876000,27.4110000
-99.4895000,27.3991000
-99.4928000,27.3920000
-99.4923000,27.3806000
-99.5030000,27.3665000
-99.5079000,27.3535000
-99.5045000,27.3388000
-99.5216000,27.3247000
-99.5368000,27.3226000
-99.5381000,27.3165000
-99.5365000,27.3121000
-99.5279000,27.3048000
-99.5120000,27.3041000
-99.5034000,27.3062000
-99.4946000,27.3038000
-99.4876000,27.2942000
-99.4878000,27.2886000
-99.4966000,27.2729000
-99.4944000,27.2665000
-99.4909000,27.2627000
-99.4826000,27.2594000
-99.4620000,27.2684000
-99.4503000,27.2611000
-99.4418000,27.2508000
-99.4415000,27.2365000
-99.4454000,27.2232000
-99.4425000,27.2180000
-99.4327000,27.2096000
-99.4330000,27.2018000
-99.4262000,27.1761000
-99.4301000,27.1592000
-99.4400000,27.1511000
-99.4388000,27.1453000
-99.4319000,27.1382000
-99.4310000,27.1252000
-99.4322000,27.1210000
-99.4425000,27.1068000
-99.4287000,27.0926000
-99.4356000,27.0790000
-99.4482000,27.0702000
-99.4527000,27.0641000
-99.4510000,27.0550000
-99.4447000,27.0412000
-99.4437000,27.0333000
-99.4457000,27.0219000
-99.4445000,27.0193000
-99.4331000,27.0108000
-99.4259000,27.0102000
-99.4136000,27.0119000
-99.4088000,27.0099000
-99.4030000,26.9998000
-99.3921000,26.9873000
-99.3871000,26.9820000
-99.3813000,26.9793000
-99.3816000,26.9724000
-99.3917000,26.9662000
-99.3949000,26.9622000
-99.3914000,26.9481000
-99.3849000,26.9388000
-99.3773000,26.9330000
-99.3684000,26.9298000
-99.3521000,26.9279000
-99.3445000,26.9239000
-99.3285000,26.9195000
-99.3227000,26.9110000
-99.3234000,26.8996000
-99.3288000,26.8796000
-99.3171000,26.8655000
-99.3099000,26.8642000
-99.2946000,26.8650000
-99.2803000,26.8578000
-99.2699000,26.8450000
-99.2620000,26.8149000
-99.2424000,26.7864000
-99.2408000,26.7475000
-99.2396000,26.7453000
-99.2090000,26.7247000
-99.2100000,26.6927000
-99.2019000,26.6588000
-99.1788000,26.6219000
-99.1705000,26.5606000
-99.1682000,26.5570000
-99.1716000,26.5482000
-99.1711000,26.5419000
-99.1669000,26.5360000
-99.1535000,26.5307000
-99.1284000,26.5255000
-99.1183000,26.5164000
-99.1045000,26.4995000
-99.0916000,26.4756000
-99.0936000,26.4685000
-99.1008000,26.4581000
-99.1001000,26.4533000
-99.1025000,26.4481000
-99.1029000,26.4418000
-99.1071000,26.4377000
-99.1134000,26.4352000
-99.1137000,26.4329000
-99.1103000,26.4257000
-99.0998000,26.4176000
-99.0960000,26.4118000
-99.0892000,26.4080000
-99.0850000,26.3980000
-99.0815000,26.3966000
-99.0623000,26.3973000
-99.0533000,26.4023000
-99.0439000,26.4108000
-99.0363000,26.4135000
-99.0311000,26.4124000
